Product Name,Price,Ratings,camera_features,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage
"POCO M4 Pro (Yellow, 64 GB)  (6 GB RAM)","₹11,999",4.3,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,Yellow,M4 Pro,16.33 cm (6.43 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 11,Mediatek Helio G96,6 GB,64 GB
"POCO M4 5G (Power Black, 64 GB)  (4 GB RAM)","₹11,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,Power Black,M4 5G,16.71 cm (6.58 inch),Full HD+ Display,2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,4 GB,64 GB
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)  (2 GB RAM)","₹5,549",4.2,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Denim Black,C30,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 11,Unisoc T612,2 GB,32 GB
"POCO C50 (Royal Blue, 32 GB)  (3 GB RAM)","₹6,549",4.1,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Royal Blue,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",3 GB,32 GB
"POCO M4 5G (Power Black, 128 GB)  (6 GB RAM)","₹13,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,Power Black,M4 5G,16.71 cm (6.58 inch),Full HD+ Display,2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,6 GB,128 GB
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹8,399",4.3,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,Mirror Black,HOT 30i,16.76 cm (6.6 inch),HD+ IPS Display,1612 x 720 Pixels,Android 12,G37,4 GB,64 GB
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)","₹9,499",4.3,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,Glacier Blue,HOT 30i,16.76 cm (6.6 inch),HD+ IPS Display,1612 x 720 Pixels,Android 12,G37,8 GB,128 GB
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)","₹5,749",4.3,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Royal Blue,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",2 GB,32 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,Opal Green,Galaxy F04,16.51 cm (6.5 inch),HD LCD Display,1600 x 720 Pixels,Android 12,Mediatek Helio P35,4 GB,64 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,Jade Purple,Galaxy F04,16.51 cm (6.5 inch),HD LCD Display,1600 x 720 Pixels,Android 12,Mediatek Helio P35,4 GB,64 GB
"MOTOROLA g52 (Metallic White, 128 GB)  (6 GB RAM)","₹12,999",4.2,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,Metallic White,g52,16.76 cm (6.6 inch),Full HD+ OLED Display,2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,6 GB,128 GB
"POCO C55 (Cool Blue, 64 GB)  (4 GB RAM)","₹8,499",4.2,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,Cool Blue,C55,17.04 cm (6.71 inch),No value available,1650 x 720 Pixels,Android 12,Mediatek Helio G85,4 GB,64 GB
"POCO C50 (Country Green, 32 GB)  (2 GB RAM)","₹5,749",4.3,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Country Green,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",2 GB,32 GB
"realme C33 2023 (Aqua Blue, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Aqua Blue,C33 2023,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 12,Unisoc T612,4 GB,64 GB
"realme C33 2023 (Sandy Gold, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Sandy Gold,C33 2023,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 12,Unisoc T612,4 GB,64 GB
"realme C33 2023 (Night Sea, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Night Sea,C33 2023,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 12,Unisoc T612,4 GB,64 GB
"POCO M4 Pro (Yellow, 64 GB)  (6 GB RAM)","₹11,999",4.3,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,Yellow,M4 Pro,16.33 cm (6.43 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 11,Mediatek Helio G96,6 GB,64 GB
"POCO M4 5G (Power Black, 64 GB)  (4 GB RAM)","₹11,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,Power Black,M4 5G,16.71 cm (6.58 inch),Full HD+ Display,2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,4 GB,64 GB
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)  (2 GB RAM)","₹5,549",4.2,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Denim Black,C30,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 11,Unisoc T612,2 GB,32 GB
"POCO C50 (Royal Blue, 32 GB)  (3 GB RAM)","₹6,549",4.1,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Royal Blue,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",3 GB,32 GB
"POCO M4 5G (Power Black, 128 GB)  (6 GB RAM)","₹13,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,Power Black,M4 5G,16.71 cm (6.58 inch),Full HD+ Display,2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,6 GB,128 GB
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹8,399",4.3,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,Mirror Black,HOT 30i,16.76 cm (6.6 inch),HD+ IPS Display,1612 x 720 Pixels,Android 12,G37,4 GB,64 GB
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)","₹9,499",4.3,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,Glacier Blue,HOT 30i,16.76 cm (6.6 inch),HD+ IPS Display,1612 x 720 Pixels,Android 12,G37,8 GB,128 GB
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)","₹5,749",4.3,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Royal Blue,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",2 GB,32 GB
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,Opal Green,Galaxy F04,16.51 cm (6.5 inch),HD LCD Display,1600 x 720 Pixels,Android 12,Mediatek Helio P35,4 GB,64 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,Jade Purple,Galaxy F04,16.51 cm (6.5 inch),HD LCD Display,1600 x 720 Pixels,Android 12,Mediatek Helio P35,4 GB,64 GB
"MOTOROLA g52 (Metallic White, 128 GB)  (6 GB RAM)","₹12,999",4.2,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,Metallic White,g52,16.76 cm (6.6 inch),Full HD+ OLED Display,2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,6 GB,128 GB
